language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,regularMarketPrice,exchangeTimezoneShortName,currency,market,exchangeTimezoneName,esgPopulated,messageBoardId,gmtOffSetMilliseconds,marketState,regularMarketChangePercent,shortName,longName,exchange,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,exchangeDataDelayedBy,tradeable,cryptoTradeable,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketTime,regularMarketPreviousClose,fullExchangeName,price,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,bid,ask,bidSize,askSize,financialCurrency,regularMarketOpen,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,bookValue,priceToBook,displayName,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,marketCap,forwardPE,averageAnalystRating,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsForward,ipoExpectedDate,ytdReturn,trailingThreeMonthReturns,trailingThreeMonthNavReturns,prevName,nameChangeDate,prevExchange,exchangeTransferDate,newListingDate,prevTicker,tickerChangeDate,underlyingSymbol,openInterest,tickerSymbol
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,159.3214,EDT,USD,us_market,America/New_York,False,finmb_24937,-14400000,REGULAR,0.94493693,Apple Inc.,Apple Inc.,NMS,70793454.0,74944790.0,35.151398,0.28309092,124.17 - 179.61,-20.288605,-0.11295921,124.17,179.61,147.7762,11.545197,0.07812622,147.81865,11.502747,0.07781661,15,0,False,False,345479400000.0,2,1.491394,1679578282,157.83,NasdaqGS,159.3214,159.4,158.73 - 159.4,158.73,2068514.0,159.55,159.6,14.0,13.0,USD,159.3,0.91,26.731777,0.0057656975,5.96,3.581,44.490753,Apple,5.96,26.731777,15821899776.0,2520767266816.0,24.103085,2.0 - Buy,1676505600.0,1675375200.0,1682506740.0,1682942400.0,6.61,,,,,,,,,,,,,,AAPL
en-US,US,ETF,ETF,Nasdaq Real Time Price,True,HIGH,22.11,EDT,USD,us_market,America/New_York,False,finmb_1793225848,-14400000,REGULAR,0.9589087,Direxion Daily AAPL Bull 1.5X S,Direxion Daily AAPL Bull 1.5X Shares,NGM,106371.0,126960.0,6.5600004,0.421865,15.55 - 27.56,-5.449999,-0.19775033,15.55,27.56,20.0258,2.0842,0.10407574,20.639807,1.4701939,0.07123099,15,0,False,False,1660051800000.0,2,0.21000099,1679578202,21.9,NasdaqGM,22.11,22.11,22.11 - 22.11,22.11,7922.0,22.18,22.26,9.0,14.0,,22.16,0.0,27.748493,0.0,0.7968,,,,,,,,,,,,,,,,31.9942,28.0713,28.0713,,,,,,,,,,AAPU
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,4.08,EDT,USD,us_market,America/New_York,False,finmb_351694,-14400000,REGULAR,-0.6090157,Autoscope Technologies Corporat,Autoscope Technologies Corporation,PNK,28428.0,3110.0,0.6999998,0.20710053,3.38 - 6.99,-2.9099998,-0.416309,3.38,6.99,4.1654,-0.085400105,-0.020502258,4.6742,-0.59420013,-0.12712339,15,0,False,False,799680600000.0,4,-0.025000095,1679515027,4.105,Other OTC,4.08,4.1025,4.05 - 4.1025,4.05,6039.0,0.0,0.0,8.0,8.0,USD,4.1025,0.6,40.8,0.14616323,0.1,3.45,1.1826086,Autoscope,,,5407710.0,22198626.0,,,1670198400.0,,,,,,,,,"Image Sensing Systems, Inc.",2023-03-22,,,,,,,,AATC
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,102.48,EDT,USD,us_market,America/New_York,False,finmb_340272,-14400000,REGULAR,0.019523984,Atlas Air Worldwide Holdings,"Atlas Air Worldwide Holdings, Inc.",NMS,514045.0,806046.0,43.780003,0.74582624,58.7 - 102.5,-0.019996643,-0.0001950892,58.7,102.5,101.6094,0.87060547,0.008568159,94.3648,8.115204,0.08599821,15,0,False,False,1131546600000.0,2,0.020004272,1679083207,102.46,NasdaqGS,102.48,102.5,102.47 - 102.5,102.47,1527211.0,0.0,0.0,31.0,10.0,USD,102.48,0.0,9.732194,0.0,10.53,107.377,0.9543944,Atlas Air Worldwide,13.95,7.3462367,28633200.0,2934330368.0,7.5631,2.0 - Buy,,1677157214.0,1683117000.0,1683549000.0,13.55,,,,,,,,,,,,,,AAWW
en-US,US,ETF,ETF,Nasdaq Real Time Price,True,HIGH,67.16,EDT,USD,us_market,America/New_York,False,finmb_47521309,-14400000,REGULAR,1.8810763,iShares MSCI All Country Asia e,iShares MSCI All Country Asia ex Japan ETF,NGM,824608.0,722500.0,12.770004,0.23478588,54.39 - 78.01,-10.849998,-0.13908471,54.39,78.01,68.4854,-1.3253937,-0.019352939,65.7742,1.3858032,0.0210691,15,0,False,False,1218807000000.0,2,1.2400055,1679578245,65.92,NasdaqGM,67.16,67.16,66.91 - 67.16,66.91,6456.0,66.47,67.89,8.0,30.0,,66.18,0.0,12.305468,0.0,5.457737,,,,,,,,,,1482883200.0,,,,,,1.7441,2.01176,2.01176,,,,,,,,,,AAXJ
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,37.235,EDT,USD,us_market,America/New_York,False,finmb_343936,-14400000,REGULAR,0.88052225,Ameris Bancorp,Ameris Bancorp,NMS,441545.0,1052090.0,2.9550018,0.08620192,34.28 - 54.24,-17.005001,-0.31351402,34.28,54.24,45.965,-8.73,-0.1899271,46.8706,-9.635601,-0.20557877,15,0,False,False,769354200000.0,2,0.32500076,1679578243,36.91,NasdaqGS,37.235,37.235,37.02 - 37.235,37.02,13287.0,26.88,57.59,8.0,8.0,USD,38.43,0.6,6.9728465,0.016255759,5.34,46.241,0.80523777,,5.17,7.2021275,69385000.0,2583550464.0,7.119503,2.2 - Buy,1681084800.0,1674828000.0,1682333940.0,1682683200.0,5.23,,,,,,,,,,,,,,ABCB
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,7.38,EDT,USD,us_market,America/New_York,False,finmb_280568380,-14400000,REGULAR,0.9575947,AbCellera Biologics Inc.,AbCellera Biologics Inc.,NMS,1709450.0,1823460.0,1.96,0.36162362,5.42 - 14.97,-7.59,-0.50701404,5.42,14.97,9.2614,-1.8814001,-0.20314424,10.545075,-3.1650753,-0.30014724,15,0,False,False,1607697000000.0,2,0.07000017,1679578247,7.31,NasdaqGS,7.38,7.4,7.35 - 7.4,7.35,30938.0,7.37,7.45,8.0,11.0,USD,7.69,0.0,14.76,0.0,0.5,4.299,1.7166784,AbCellera Biologics,-0.59,-12.508475,287686016.0,2213158912.0,-11.353847,1.8 - Buy,,1677016800.0,1683543540.0,1683892800.0,-0.65,2020-12-11,,,,,,,,,,,,,ABCL
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,13.39,EDT,USD,us_market,America/New_York,False,finmb_9560513,-14400000,REGULAR,0.22455606,Abcam plc,Abcam plc,NMS,637789.0,821630.0,0.8500004,0.067783125,12.54 - 19.39,-5.999999,-0.3094378,12.54,19.39,15.0202,-1.6301994,-0.10853381,15.1772,-1.7872,-0.11775558,15,0,False,False,1603373400000.0,2,0.030000687,1679578202,13.36,NasdaqGS,13.39,13.39,13.335 - 13.39,13.335,2192.0,13.1,15.58,14.0,10.0,GBP,13.67,0.0,167.37502,0.0,0.08,3.149,4.252144,Abcam,,,229272000.0,3171582208.0,,2.4 - Buy,,,,,,2020-10-22,,,,,,,,,,,,,ABCM
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,2.4,EDT,USD,us_market,America/New_York,False,finmb_360935,-14400000,REGULAR,0.0,Abeona Therapeutics Inc.,Abeona Therapeutics Inc.,NCM,225506.0,164110.0,0.21000004,0.095890425,2.19 - 9.25,-6.85,-0.7405405,2.19,9.25,2.5562,-0.15619993,-0.0611063,3.6002,-1.2001998,-0.33337033,15,0,False,False,338218200000.0,4,0.0,1679578203,2.4,NasdaqCM,2.4,2.4,2.4 - 2.4,2.4,1128.0,2.05,2.8,8.0,11.0,USD,2.46,0.0,,0.0,-18.7,2.009,1.1946242,Abeona Therapeutics,-1.27,-1.8897638,17175800.0,41221920.0,-1.2500001,2.0 - Buy,,1668429900.0,1680089400.0,1680521400.0,-1.92,,,,,,,,,,,,,,ABEO
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,2.05,EDT,USD,us_market,America/New_York,False,finmb_26198824,-14400000,REGULAR,-2.8435993,"ARCA biopharma, Inc.","ARCA biopharma, Inc.",NCM,34508.0,33990.0,0.28999996,0.1647727,1.76 - 2.7,-0.6500001,-0.24074078,1.76,2.7,2.1902,-0.14020014,-0.06401248,2.25015,-0.20015001,-0.088949636,15,0,False,False,871047000000.0,4,-0.059999943,1679515204,2.11,NasdaqCM,2.05,2.085,2.085 - 2.085,2.085,14.0,2.05,2.21,11.0,13.0,USD,2.1,0.0,,0.0,-0.66,2.892,0.708852,ARCA biopharma,,,14410100.0,30405394.0,-0.23295453,,1554336000.0,1677273600.0,1682938740.0,1683288000.0,-8.8,,,,,,,,,,,,,,ABIO
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,122.95,EDT,USD,us_market,America/New_York,False,finmb_115705393,-14400000,REGULAR,1.4690095,"Airbnb, Inc.","Airbnb, Inc.",NMS,6257128.0,5492280.0,41.039993,0.5010376,81.91 - 179.09,-56.14,-0.31347367,81.91,179.09,116.0566,6.8933945,0.059396833,107.8331,15.116898,0.14018792,15,0,False,False,1607610600000.0,2,1.7799988,1679578257,121.17,NasdaqGS,122.95,123.0,122.32 - 123.0,122.32,70946.0,122.3,123.0,10.0,9.0,USD,123.89,0.0,43.59929,0.0,2.82,8.812,13.952564,Airbnb,3.31,37.145016,408928000.0,79327821824.0,30.969772,2.5 - Buy,,1676410200.0,1682971200.0,1683316800.0,3.97,2020-12-10,,,,,,,,,,,,,ABNB
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,4.1,EDT,USD,us_market,America/New_York,False,finmb_8539521,-14400000,REGULAR,0.49019563,"Acumen Pharmaceuticals, Inc.","Acumen Pharmaceuticals, Inc.",NMS,80727.0,135490.0,1.0799999,0.35761586,3.02 - 10.97,-6.8700004,-0.6262534,3.02,10.97,5.3666,-1.2666001,-0.23601538,5.7742,-1.6742,-0.28994495,15,0,False,False,1625146200000.0,4,0.01999998,1679578202,4.08,NasdaqGS,4.1,4.13,4.1 - 4.13,4.1,617.0,3.03,8.82,13.0,11.0,USD,3.96,0.0,3.129771,0.0,1.31,4.855,0.8444902,Acumen Pharmaceuticals,-0.98,-4.1836734,40925300.0,167793728.0,-3.3333333,1.5 - Strong Buy,,1679918400.0,1679918400.0,1679918400.0,-1.23,2021-07-01,,,,,,,,,,,,,ABOS
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,16.09,EDT,USD,us_market,America/New_York,False,finmb_6207506,-14400000,REGULAR,-0.49474272,Arbor Realty Trust 6.25% Series,"Arbor Realty Trust, Inc.",NYQ,20315.0,52832.0,0.21000004,0.013224184,15.88 - 23.49,-7.3999996,-0.31502765,15.88,23.49,19.331938,-3.2419376,-0.16769853,19.043478,-2.9534779,-0.1550913,15,0,False,False,1628170200000.0,2,-0.0799999,1679578200,16.17,NYSE,16.09,16.03,16.03 - 16.03,16.03,3018.0,0.0,22.54,13.0,11.0,USD,16.44,1.57,7.6183715,0.09709339,2.112,12.923,1.2450669,Arbor Realty Trust,,,,,,,1675123200.0,,,,,,,,,,,,,,,,,,ABR-PE
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,17.64,EDT,USD,us_market,America/New_York,False,finmb_6207506,-14400000,REGULAR,-0.05665852,Arbor Realty Trust 6.25% Series,"Arbor Realty Trust, Inc.",NYQ,14915.0,19889.0,0.5100002,0.029772345,17.13 - 24.7,-7.0600014,-0.28583002,17.13,24.7,20.035673,-2.3956738,-0.11957041,19.854845,-2.2148457,-0.111551896,15,0,False,False,1633440600000.0,2,-0.010000229,1679515092,17.65,NYSE,17.64,18.0899,17.64 - 18.0899,17.64,9148.0,16.51,21.68,18.0,10.0,USD,18.0,1.57,8.352272,0.08895185,2.112,12.923,1.365008,Arbor Realty Trust,,,,,,,1675123200.0,,,,,,,,,,,,,,,,,,ABR-PF
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,1.72,EDT,USD,us_market,America/New_York,False,finmb_266013918,-14400000,REGULAR,1.7751461,Absci Corporation,Absci Corporation,NMS,490193.0,510550.0,0.19000006,0.124183044,1.53 - 9.09,-7.37,-0.81078106,1.53,9.09,2.5207,-0.80069995,-0.31764984,3.0387,-1.3187001,-0.43396848,15,0,False,False,1626960600000.0,4,0.029999971,1679578203,1.69,NasdaqGS,1.72,1.72,1.72 - 1.72,1.72,2728.0,1.25,2.25,8.0,8.0,USD,1.76,0.0,,0.0,-0.87,3.154,0.5453392,Absci,-1.17,-1.4700855,92394896.0,164561344.0,-1.6226417,2.7 - Hold,,,,,-1.06,2021-07-22,,,,"Absci, CORP",2023-03-22,,,,,,,,ABSI
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,7.58,EDT,USD,us_market,America/New_York,False,finmb_6850153,-14400000,REGULAR,0.6640068,Absolute Software Corporation,Absolute Software Corporation,NMS,84206.0,95410.0,0.78999996,0.116347566,6.79 - 12.59,-5.01,-0.39793488,6.79,12.59,9.9292,-2.3492002,-0.23659511,10.07695,-2.4969501,-0.24778828,15,0,False,False,1234535400000.0,2,0.049999714,1679578202,7.53,NasdaqGS,7.58,7.58,7.58 - 7.58,7.58,207.0,7.0,7.92,13.0,12.0,USD,7.57,0.24,,0.031872507,-0.57,-0.166,-45.66265,Absolute Software,0.04,189.5,52677200.0,399293184.0,19.947369,2.0 - Buy,1677110400.0,1676412000.0,1683543540.0,1683892800.0,0.38,,,,,,,,,,,,,,ABST
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,2.96,EDT,USD,us_market,America/New_York,False,finmb_34160168,-14400000,REGULAR,0.33898273,Arbutus Biopharma Corporation,Arbutus Biopharma Corporation,NMS,965493.0,1320550.0,1.11,0.6,1.85 - 3.22,-0.26,-0.08074534,1.85,3.22,2.8358,0.124200106,0.043797202,2.5137,0.44630003,0.17754705,15,0,False,False,1185456600000.0,4,0.00999999,1679578261,2.95,NasdaqGS,2.96,2.96,2.9401 - 2.96,2.9401,32614.0,2.99,3.0,22.0,22.0,USD,3.05,0.0,,0.0,-0.45,0.869,3.406214,Arbutus Biopharma,-0.58,-5.1034484,162571008.0,494260800.0,-4.5538464,2.0 - Buy,,1677764700.0,1683113400.0,1683545400.0,-0.65,,,,,,,,,,,,,,ABUS
